image_files,Picturio,AADB
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0152_131074361888504067.jpg,0.33908000588417053,0.614853
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0153_131067356030659868.jpg,0.5722024440765381,0.471878
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0154_131067356051589382.jpg,0.3986850082874298,0.522809
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0155_131067356094095513.jpg,0.4836423397064209,0.616246
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0156_131067356126593429.jpg,0.5144214630126953,0.456291
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0157_131067356164345834.jpg,0.6410630345344543,0.596195
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0158_131067356195281075.jpg,0.20291684567928314,0.514944
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0159_131064102017231778.jpg,0.5397995114326477,0.441897
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\016_2014_kari-[f_7,0]-[1_40 s]-[48,0 mm]-[photo-levi]_dsc_9262_131066507316327241.jpg",0.3923874497413635,0.413524
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\016_2015-tavasz-f_3,0-1_640 s-50,0 mm-20150423dsc_1906_131067553421197463.jpg",0.3410288393497467,0.567388
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\016_photoexpo-[-[f_5,0]-[1_8 s]-[55,0 mm]-_mg_9059_131067553463383604.jpg",0.1494029462337494,0.348082
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0161_131072770205560988.jpg,0.43783465027809143,0.589501
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0163_131067553509634956.jpg,0.4136505722999573,0.617855
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0168_131067553573574481.jpg,0.26370781660079956,0.646269
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0168f16d-c6a6-43f2-8639-ee42228dd8ad_131072744374290925.jpg,0.1832374781370163,0.582487
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\017_131067356236573497.jpg,0.4811434745788574,0.553769
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\017_2014_kari-[f_7,0]-[1_40 s]-[48,0 mm]-[photo-levi]_dsc_9263_131066507332263836.jpg",0.3435837924480438,0.411556
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\017_2015-tavasz-f_3,0-1_500 s-50,0 mm-20150423dsc_1907_131067553616853441.jpg",0.1441158503293991,0.745542
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\017_photoexpo-[-[f_5,0]-[1_8 s]-[55,0 mm]-_mg_9060_131067553674131958.jpg",0.2023080438375473,0.327927
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0172_131064077871455158.jpg,0.3850756883621216,0.62429
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0174_131067356260477927.jpg,0.6549578309059143,0.39414
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0175_131074362159541291.jpg,0.6553113460540771,0.443467
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0176_131067356314600274.jpg,0.6413885354995728,0.371501
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0178_131067356325849847.jpg,0.5752358436584473,0.624275
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\018_131067356424574771.jpg,0.4919927716255188,0.577794
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\018_2014_kari-[f_7,0]-[1_40 s]-[55,0 mm]-[photo-levi]_dsc_9264_131066507360469243.jpg",0.2322389781475067,0.533633
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\018_2015-tavasz-f_3,0-1_800 s-50,0 mm-20150423dsc_1908_131067553706114392.jpg",0.21165375411510468,0.711646
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\018_photoexpo-[-[f_5,0]-[1_8 s]-[41,0 mm]-_mg_9061_131067553762361860.jpg",0.10149101167917252,0.395125
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0180_131074362167821650.jpg,0.48582103848457336,0.57677
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0188_131074383753626326.jpg,0.5293094515800476,0.552904
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0189_131067356406293346.jpg,0.6566452980041504,0.356267
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\019_131067356503062917.jpg,0.613912045955658,0.675339
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\019_2014_kari-[f_7,0]-[1_40 s]-[55,0 mm]-[photo-levi]_dsc_9265_131066507383097527.jpg",0.391950786113739,0.492433
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\019_2015-tavasz-f_3,0-1_1250 s-50,0 mm-20150423dsc_1909_131067553798966657.jpg",0.1540181040763855,0.702871
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\019_photoexpo-[-[f_5,0]-[1_8 s]-[41,0 mm]-_mg_9062_131067553871977928.jpg",0.22286953032016754,0.280776
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0194_131074362413192050.jpg,0.37998586893081665,0.420399
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0195_131074362421940980.jpg,0.16118231415748596,0.493405
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0196_131074362689816627.jpg,0.24154606461524963,0.549573
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0197_131074362679505211.jpg,0.238646999001503,0.617824
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0198_131074362921574170.jpg,0.5830605030059814,0.685841
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0199_131074362934562065.jpg,0.4502672851085663,0.634565
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\01c4e1ee-2c81-462b-836a-145c92de82e2_131074383897988038.jpg,0.4131113886833191,0.737937
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\020_131067356526593927.jpg,0.37400975823402405,0.510816
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\020_2014_kari-[f_7,0]-[1_40 s]-[55,0 mm]-[photo-levi]_dsc_9266_131066507395147520.jpg",0.34637704491615295,0.492231
